ID,ra,dec
NSA78568_v0,210.6197189306580,9.3156748616539
NSA79150_v0,223.8271409421780,8.268450552955410
NSA79874_v0,231.65569503928500,6.994920855560430
NSA80357_v0,217.73633,6.08396
NSA80770_v0,228.59540538938200,6.05231000697966
NSA81542_v0,213.65257,34.68802
NSA82076_v0,240.6369,22.66538
NSA82137_v0,243.42451,22.187
NSA82346_v0,246.99289,20.24561
NSA82616_v0,117.12164781115600,51.01452591793770
NSA82730_v0,119.19773,53.59118
NSA83280_v0,129.42062976227300,60.227552959196300
NSA83933_v0,120.62021861524800,20.513983366030500
NSA84977_v0,143.68737967365400,26.674527199481300
NSA85407_v0,146.04343,34.04196
NSA86652_v0,190.52696,33.27886
NSA86723_v0,200.48527509605600,38.73456067790940
NSA8747_v0,22.22581,14.9397
NSA87702_v0,203.62762,34.65922
NSA88061_v0,176.147,36.90237
NSA88260_v0,189.73718,38.09026
NSA88928_v0,197.52958051563700,30.015585216826800
NSA89394_v0,186.45361724196700,33.546866450115900
NSA89494_v0,196.24111876337700,36.439537755652800
NSA90179_v0,161.99199480856300,33.92698066650730
NSA92123_v0,204.88258,31.44938
NSA92369_v0,176.07851891689000,33.66873141441970
NSA93806_v0,201.3847784265170,31.89252226681090
NSA93958_v0,172.87168795419400,35.1663916554753
NSA95676_v0,217.9448311169210,26.27344064554780
NSA95945_v0,221.84625,22.55173
NSA98366_v0,238.61017,20.70297
NSA98618_v0,240.20694,20.07803
NSA99052_v0,241.3827223501020,17.807255305727500
NSA99564_v0,240.15854,16.65279
SDSSJ024117.09-001352.3,40.32123363125,-0.23120554207
SDSSJ082228.93+034551.7,125.620574,3.764378
SDSSJ090335.40+151142.0,135.897521,15.195025
SDSSJ102526.59+124540.3,156.360792,12.761221
SDSSJ130821.42+113055.0,197.089285,11.515285
SDSSJ131930.27+552146.0,199.87605,55.362799
SDSSJ153704.18+551550.5,234.26737645383,55.26407154177
SDSSJ160651.01+080928.6,241.7125778682800,8.15796349404
SDSSJ162642.49+390842.8,246.6770197275200,39.14522974075
SDSSJ162729.77+385455.1,246.87411408536,38.91533963586
SDSSJ213732.54+002800.1,324.385609,0.466719
SDSSJ213743.69+003125.5,324.432063,0.52376
Sartori100261,38.44558333333330,-1.0245277777777800
Sartori100483,158.788875,9.75463888888889
Sartori101985,207.67525,17.079638888888900
Sartori10219,7.864791666666670,-10.675888888888900
Sartori105787,159.87666666666700,14.320333333333300
Sartori10763,34.72041666666670,-9.205194444444440
Sartori10897,172.35816666666700,21.352111111111100
Sartori10957,161.24083333333300,3.886972222222220
Sartori11102,120.34883333333300,39.889583333333300
Sartori11105,125.667875,3.7629444444444400
Sartori111723,198.22404166666700,17.208666666666700
Sartori112045,210.94566666666700,33.1695
Sartori112658,130.41458333333300,21.58147222222220
Sartori115666,228.05354166666700,47.275194444444400
Sartori117208,195.13091666666700,6.463416666666670
Sartori11826,142.98708333333300,42.816111111111100
Sartori118838,170.16866666666700,67.77888888888890
Sartori120037,145.93833333333300,1.5159722222222200
Sartori122293,161.3350833333330,9.396972222222220
Sartori12269,230.7824583333330,19.08372222222220
Sartori123356,238.33416666666700,42.126583333333300
Sartori123713,161.90904166666700,4.311611111111110
Sartori12643,120.59533333333300,23.408027777777800
Sartori128255,203.95033333333300,37.02936111111110
Sartori12840,199.95812500000000,52.06144444444440
Sartori128455,213.95670833333300,1.6323611111111100
Sartori128605,26.779416666666700,13.941416666666700
Sartori12868,202.38508333333300,32.57141666666670
Sartori129072,14.575583333333300,-8.737694444444440
Sartori129926,202.45958333333300,31.187277777777800
Sartori130041,168.61812500000000,1.734527777777780
Sartori132736,221.40066666666700,63.6795
Sartori134273,158.0250833333330,22.98938888888890
Sartori137290,131.75866666666700,3.8672222222222200
Sartori137398,173.90337500000000,27.93625
Sartori137647,12.499291666666700,-0.4043888888888890
Sartori13986,209.46004166666700,26.711305555555600
Sartori141121,195.7638333333330,35.85794444444450
Sartori14176,178.8680833333330,57.66441666666670
Sartori14294,141.35225,2.0636944444444400
Sartori145508,152.67725000000000,12.921333333333300
Sartori14926,14.767083333333300,1.0011944444444400
Sartori15020,185.81887500000000,4.836138888888890
Sartori15156,174.21308333333300,7.673666666666670
Sartori15175,132.08404166666700,26.41386111111110
Sartori154841,222.98129166666700,22.86602777777780
Sartori15541,175.7247083333330,0.1618888888888890
Sartori15565,186.99050000000000,54.513222222222200
Sartori158388,189.78579166666700,9.121416666666670
Sartori160488,232.0715833333330,39.94736111111110
Sartori160572,196.51629166666700,19.806250000000000
Sartori160721,6.039541666666670,-1.0089722222222200
Sartori16073,12.620708333333300,-0.5305555555555560
Sartori16383,180.76495833333300,56.91675
Sartori164973,134.13766666666700,32.999361111111100
Sartori164982,136.36704166666700,44.18286111111110
Sartori166401,212.74675000000000,43.04636111111110
Sartori168543,352.4022916666670,-1.1825
Sartori170095,189.05683333333300,9.484222222222220
Sartori17149,144.95929166666700,36.174416666666700
Sartori171809,336.2922083333330,-0.19802777777777800
Sartori17350,146.84225000000000,0.7408055555555560
Sartori17373,129.50637500000000,18.72011111111110
Sartori17389,177.19858333333300,20.166805555555600
Sartori17394,119.17575,35.60916666666670
Sartori176273,344.77791666666700,-0.9694444444444440
Sartori178309,187.0335833333330,7.912055555555560
Sartori18167,126.19791666666700,18.545472222222200
Sartori18265,183.44070833333300,24.356055555555600
Sartori18330,191.28033333333300,14.320027777777800
Sartori183496,153.393125,17.867527777777800
Sartori18643,166.62079166666700,44.85091666666670
Sartori189172,209.73762500000000,13.649916666666700
Sartori190553,206.11400000000000,56.02491666666670
Sartori19109,138.77137500000000,28.94472222222220
Sartori197748,132.18545833333300,51.107416666666700
Sartori19871,175.51325000000000,16.77622222222220
Sartori199402,167.34562500000000,14.94363888888890
Sartori200366,130.00154166666700,18.091944444444400
Sartori20161,181.59391666666700,31.941416666666700
Sartori20271,198.65691666666700,29.31802777777780
Sartori20311,139.17075,18.46886111111110
Sartori204802,155.83150000000000,2.8281944444444400
Sartori20566,182.9715833333330,23.643694444444400
Sartori20575,159.87429166666700,12.492305555555600
Sartori20747,358.4687916666670,-0.09872222222222220
Sartori208070,1.7375833333333300,0.8572222222222220
Sartori20955,136.11262500000000,29.315555555555600
Sartori20968,119.17425000000000,28.37188888888890
Sartori210237,175.95125,32.71608333333330
Sartori21077,179.14662500000000,27.66172222222220
Sartori211304,117.44587500000000,15.670361111111100
Sartori214163,136.6187083333330,44.98180555555560
Sartori214566,62.40679166666670,-5.301611111111110
Sartori216779,229.54945833333300,19.920694444444400
Sartori217992,223.89033333333300,0.6159166666666670
Sartori221600,133.0905,12.281027777777800
Sartori22237,166.90300000000000,5.560444444444440
Sartori22633,171.21383333333300,29.480000000000000
Sartori226725,216.84291666666700,3.4189166666666700
Sartori22729,182.53479166666700,44.65183333333330
Sartori22732,202.22066666666700,15.992861111111100
Sartori230467,212.48654166666700,54.94691666666670
Sartori23130,205.423375,35.03725
Sartori23535,182.63566666666700,44.60125
Sartori235966,142.04383333333300,15.041083333333300
